first_name,last_name,position,height,weight,country,draft_year,draft_number,id_team,conference,division,team
Anthony,Avent,G-C,2.06,108.0,USA,1991,15,17,East,Central,Milwaukee Bucks
William,Averitt,G-C,1.88,76.5,USA,1973,55,13,West,Pacific,LA Clippers
William,Avery,G-C,1.88,81.0,USA,1999,14,18,West,Northwest,Minnesota Timberwolves
Dennis,Awtrey,G-C,2.08,105.75,USA,1970,46,24,West,Pacific,Phoenix Suns
Joel,Ayayi,G,1.93,81.0,France,undrafted,undrafted,30,East,Southeast,Washington Wizards
Gustavo,Ayon,G-C,2.08,112.5,Mexico,undrafted,undrafted,19,West,Southwest,New Orleans Pelicans
Jeff,Ayres,G-C,2.06,112.5,USA,2009,31,27,West,Southwest,San Antonio Spurs
Deandre,Ayton,C,2.13,113.4,Bahamas,2018,1,25,West,Northwest,Portland Trail Blazers
Udoka,Azubuike,F-C,2.11,121.5,Nigeria,2020,27,24,West,Pacific,Phoenix Suns
Kelenna,Azubuike,G-C,1.96,96.75,United Kingdom,undrafted,undrafted,10,West,Pacific,Golden State Warriors
Chris,Babb,G-C,1.96,101.25,USA,undrafted,undrafted,2,East,Atlantic,Boston Celtics
Luke,Babbitt,G-C,2.06,101.25,USA,2010,16,19,West,Southwest,New Orleans Pelicans
Milos,Babic,G-C,2.13,108.0,USA,1990,undrafted,6,East,Central,Cleveland Cavaliers
Johnny,Bach,G-C,1.88,81.0,USA,1948,undrafted,2,East,Atlantic,Boston Celtics
Dwayne,Bacon,G-F,1.98,99.45,USA,2017,undrafted,14,West,Pacific,Los Angeles Lakers
Armando,Bacot,C,2.08,108.0,USA,undrafted,undrafted,15,West,Southwest,Memphis Grizzlies
Ibou,Badji,C,2.13,108.0,Senegal,undrafted,undrafted,25,West,Northwest,Portland Trail Blazers
Jim,Baechtold,G-C,1.93,92.25,USA,1952,2,20,East,Atlantic,New York Knicks
Dalibor,Bagaric,G-C,2.16,130.5,Croatia,2000,24,5,East,Central,Chicago Bulls
John,Bagley,G-C,1.83,83.25,USA,1982,12,6,East,Central,Cleveland Cavaliers
Marvin,Bagley III,F,2.08,105.75,USA,2018,2,30,East,Southeast,Washington Wizards
Toby,Bailey,G-C,1.98,95.85000000000001,USA,1998,45,24,West,Pacific,Phoenix Suns
Gus,Bailey,G-C,1.96,83.25,USA,1974,23,11,West,Southwest,Houston Rockets
Thurl,Bailey,G-C,2.11,111.15,USA,1983,7,29,West,Northwest,Utah Jazz
Carl,Bailey,G-C,2.13,94.5,USA,1980,66,25,West,Northwest,Portland Trail Blazers
James,Bailey,G-C,2.06,99.0,USA,1979,6,21,West,Northwest,Oklahoma City Thunder
Amari,Bailey,G,1.9,83.25,USA,2023,41,3,East,Atlantic,Brooklyn Nets
Cameron,Bairstow,G-C,2.06,112.5,Australia,2014,49,5,East,Central,Chicago Bulls
Mark,Baker,G-C,1.85,78.75,USA,undrafted,undrafted,28,East,Atlantic,Toronto Raptors
Maurice,Baker,G-C,1.85,83.25,USA,undrafted,undrafted,25,West,Northwest,Portland Trail Blazers
Vin,Baker,G-C,2.11,108.0,USA,1993,8,21,West,Northwest,Oklahoma City Thunder
Ron,Baker,G,1.93,99.0,USA,undrafted,undrafted,20,East,Atlantic,New York Knicks
Wade,Baldwin IV,G,1.93,90.9,USA,2016,17,15,West,Southwest,Memphis Grizzlies
Patrick,Baldwin Jr.,F,2.06,99.0,USA,2022,28,30,East,Southeast,Washington Wizards
Renaldo,Balkman,G-C,2.03,93.60000000000001,USA,2006,undrafted,20,East,Atlantic,New York Knicks
Lonzo,Ball,G,1.98,85.5,USA,2017,2,5,East,Central,Chicago Bulls
LaMelo,Ball,G,2.01,81.0,USA,2020,3,4,East,Southeast,Charlotte Hornets
Cedric,Ball,G-C,2.03,94.5,USA,undrafted,undrafted,13,West,Pacific,LA Clippers
Greg,Ballard,G-C,2.01,96.75,USA,1977,4,30,East,Southeast,Washington Wizards
Mo,Bamba,C,2.13,103.95,USA,2018,6,13,West,Pacific,LA Clippers
Paolo,Banchero,F,2.08,112.5,USA,2022,1,22,East,Southeast,Orlando Magic
Desmond,Bane,G,1.96,96.75,USA,2020,undrafted,15,West,Southwest,Memphis Grizzlies
Marcus,Banks,G-C,1.88,92.25,USA,2003,13,2,East,Atlantic,Boston Celtics
Gene,Banks,G-C,2.01,96.75,USA,1981,28,27,West,Southwest,San Antonio Spurs
Ken,Bannister,G-C,2.06,105.75,USA,1984,156,20,East,Atlantic,New York Knicks
Mike,Bantom,G-C,2.06,90.0,USA,1973,8,12,East,Central,Indiana Pacers
Dalano,Banton,G,2.03,91.35000000000001,Canada,2021,46,25,West,Northwest,Portland Trail Blazers
John,Barber,G-C,1.98,94.5,USA,1956,undrafted,1,East,Southeast,Atlanta Hawks
Cat,Barber,G,1.85,77.85000000000001,USA,2016,undrafted,1,East,Southeast,Atlanta Hawks
Leandro,Barbosa,G-C,1.9,87.3,Brazil,2003,28,24,West,Pacific,Phoenix Suns
Stephen,Bardo,G-C,1.96,85.5,USA,1990,41,7,West,Southwest,Dallas Mavericks
J.J.,Barea,G,1.78,81.0,Puerto Rico,undrafted,undrafted,7,West,Southwest,Dallas Mavericks
Andrea,Bargnani,G-C,2.13,110.25,Italy,2006,1,28,East,Atlantic,Toronto Raptors
Tom,Barker,G-C,2.11,101.25,USA,1976,53,1,East,Southeast,Atlanta Hawks
Charles,Barkley,G-C,1.98,113.4,USA,1984,5,23,East,Atlantic,Philadelphia 76ers
Erick,Barkley,G-C,1.85,83.25,USA,2000,28,25,West,Northwest,Portland Trail Blazers
Don,Barksdale,G-C,1.98,90.0,USA,undrafted,undrafted,2,East,Atlantic,Boston Celtics
Dominick,Barlow,F,2.03,96.75,USA,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
Matt,Barnes,G-C,2.01,101.7,USA,2002,45,13,West,Pacific,LA Clippers
Harry,Barnes,G-C,1.9,92.25,USA,1968,37,11,West,Southwest,Houston Rockets
Marvin,Barnes,G-C,2.06,94.5,USA,1974,2,13,West,Pacific,LA Clippers
Harrison,Barnes,F,2.03,101.25,USA,2012,7,27,West,Southwest,San Antonio Spurs
Scottie,Barnes,G-F,2.01,106.65,USA,2021,4,28,East,Atlantic,Toronto Raptors
Jim,Barnes,G-C,2.03,94.5,USA,1964,1,2,East,Atlantic,Boston Celtics
Dick,Barnett,G-C,1.93,85.5,USA,1959,4,20,East,Atlantic,New York Knicks
Jim,Barnett,G-C,1.93,76.5,USA,1966,8,10,West,Pacific,Golden State Warriors
John,Barnhill,G-C,1.85,81.0,USA,1959,77,1,East,Southeast,Atlanta Hawks
Norton,Barnhill,G-C,1.93,92.25,USA,1976,134,21,West,Northwest,Oklahoma City Thunder
Mike,Barr,G-C,1.9,81.0,USA,1972,1,26,West,Pacific,Sacramento Kings
Thomas,Barr,G-C,1.93,87.75,USA,undrafted,undrafted,26,West,Pacific,Sacramento Kings
Ernie,Barrett,G-C,1.73,81.0,USA,1951,7,2,East,Atlantic,Boston Celtics
Andre,Barrett,G-C,1.78,77.85000000000001,USA,undrafted,undrafted,11,West,Southwest,Houston Rockets
RJ,Barrett,G-F,1.98,96.3,Canada,2019,3,28,East,Atlantic,Toronto Raptors
Earl,Barron,G-C,2.13,112.5,USA,undrafted,undrafted,16,East,Southeast,Miami Heat
Dana,Barros,G-C,1.8,74.25,USA,1989,16,2,East,Atlantic,Boston Celtics
Brent,Barry,G-C,2.01,94.5,USA,1995,15,21,West,Northwest,Oklahoma City Thunder
Rick,Barry,G-C,2.01,92.25,USA,1965,2,10,West,Pacific,Golden State Warriors
Jon,Barry,G-C,1.96,94.5,USA,1992,21,17,East,Central,Milwaukee Bucks
Drew,Barry,G-C,1.96,85.95,USA,1996,57,1,East,Southeast,Atlanta Hawks
Joe,"Barry,Carroll",G-C,2.13,101.25,USA,1980,1,10,West,Pacific,Golden State Warriors
Vic,Bartolome,G-C,2.13,103.5,USA,1970,87,10,West,Pacific,Golden State Warriors
Will,Barton,G,1.96,81.45,USA,2012,undrafted,28,East,Atlantic,Toronto Raptors
Eddie,Basden,G-C,1.96,96.75,USA,undrafted,undrafted,5,East,Central,Chicago Bulls
Jerry,Baskerville,G-C,2.01,85.5,USA,undrafted,undrafted,23,East,Atlantic,Philadelphia 76ers
Brandon,Bass,G-C,2.03,112.5,USA,2005,33,2,East,Atlantic,Boston Celtics
Paris,Bass,F,2.03,90.0,USA,undrafted,undrafted,24,West,Pacific,Phoenix Suns
Tim,Bassett,G-C,2.03,101.25,USA,1973,6,3,East,Atlantic,Brooklyn Nets
Charles,Bassey,G,2.08,103.5,Nigeria,2021,53,27,West,Southwest,San Antonio Spurs
Maceo,Baston,G-C,2.08,103.5,USA,1998,58,12,East,Central,Indiana Pacers
Mengke,Bateer,G-C,2.11,130.5,China,undrafted,undrafted,8,West,Northwest,Denver Nuggets
Emoni,Bates,F,2.03,76.5,USA,2023,49,6,East,Central,Cleveland Cavaliers
Billyray,Bates,G-C,1.93,94.5,USA,1978,47,25,West,Northwest,Portland Trail Blazers
Keita,Bates-Diop,F,2.03,103.05,USA,2018,48,18,West,Northwest,Minnesota Timberwolves
Esteban,Batista,G-C,2.08,120.60000000000001,Uruguay,undrafted,undrafted,1,East,Southeast,Atlanta Hawks
Mike,Batiste,G-C,2.03,101.25,USA,undrafted,undrafted,15,West,Southwest,Memphis Grizzlies
Tony,Battie,F,2.11,108.0,USA,1997,5,2,East,Atlantic,Boston Celtics
Shane,Battier,F,2.03,99.0,USA,2001,6,15,West,Southwest,Memphis Grizzlies
